Number of Decks Shuffled,Highest Number of Matching Cards
2,1
12,0
22,3
32,2
42,3
52,3
62,3
72,3
82,2
92,4
102,2
112,3
122,3
132,2
142,4
152,3
162,3
172,2
182,3
192,3
202,2
212,3
222,3
232,3
242,3
252,4
262,4
272,4
282,4
292,3
302,3
312,3
322,4
332,4
342,3
352,4
362,3
372,3
382,3
392,4
402,5
412,3
422,3
432,5
442,4
452,4
462,4
472,4
482,4
492,4
502,3
512,4
522,3
532,3
542,3
552,3
562,4
572,4
582,4
592,3
602,4
612,4
622,6
632,4
642,4
652,4
662,3
672,5
682,3
692,5
702,4
712,4
722,5
732,4
742,4
752,4
762,4
772,5
782,4
792,4
802,5
812,3
822,4
832,4
842,5
852,5
862,7
872,4
882,4
892,5
902,4
912,4
922,4
932,4
942,4
952,4
962,3
972,5
982,4
992,3
1002,4
1012,3
1022,4
1032,5
1042,3
1052,4
1062,5
1072,5
1082,4
1092,5
1102,5
1112,5
1122,4
1132,3
1142,4
1152,3
1162,4
1172,5
1182,5
1192,4
1202,4
1212,5
1222,4
1232,5
1242,4
1252,4
1262,5
1272,5
1282,5
1292,6
1302,4
1312,4
1322,4
1332,5
1342,4
1352,4
1362,4
1372,4
1382,4
1392,5
1402,5
1412,4
1422,4
1432,5
1442,4
1452,5
1462,5
1472,5
1482,4
1492,4
1502,4
1512,4
1522,5
1532,4
1542,5
1552,4
1562,5
1572,5
1582,3
1592,5
1602,5
1612,4
1622,4
1632,4
1642,4
1652,4
1662,4
1672,3
1682,5
1692,4
1702,4
1712,5
1722,5
1732,4
1742,4
1752,4
1762,5
1772,7
1782,5
1792,4
1802,5
1812,4
1822,4
1832,5
1842,4
1852,4
1862,5
1872,4
1882,5
1892,4
1902,5
1912,5
1922,5
1932,6
1942,4
1952,4
1962,5
1972,4
1982,5
1992,5
2002,4
2012,5
2022,4
2032,5
2042,5
2052,5
2062,3
2072,5
2082,4
2092,4
2102,4
2112,4
2122,5
2132,4
2142,5
2152,5
2162,5
2172,5
2182,4
2192,4
2202,3
2212,6
2222,4
2232,5
2242,5
2252,5
2262,5
2272,4
2282,5
2292,5
2302,4
2312,5
2322,5
2332,5
2342,5
2352,5
2362,4
2372,5
2382,4
2392,6
2402,5
2412,6
2422,4
2432,3
2442,6
2452,4
2462,4
2472,4
2482,4
2492,4
2502,5
2512,4
2522,5
2532,5
2542,6
2552,4
2562,6
2572,4
2582,5
2592,5
2602,4
2612,5
2622,5
2632,5
2642,5
2652,5
2662,5
2672,5
2682,4
2692,5
2702,5
2712,5
2722,5
2732,4
2742,4
2752,5
2762,4
2772,4
2782,5
2792,4
2802,6
2812,4
2822,4
2832,4
2842,4
2852,5
2862,6
2872,4
2882,5
2892,4
2902,5
2912,6
2922,4
2932,4
2942,4
2952,4
2962,4
2972,5
2982,5
2992,7
3002,6
3012,5
3022,6
3032,4
3042,7
3052,5
3062,6
3072,4
3082,4
3092,4
3102,5
3112,4
3122,6
3132,5
3142,6
3152,5
3162,5
3172,7
3182,4
3192,6
3202,7
3212,4
3222,5
3232,5
3242,6
3252,7
3262,5
3272,4
3282,4
3292,5
3302,5
3312,5
3322,5
3332,4
3342,7
3352,6
3362,6
3372,5
3382,4
3392,5
3402,6
3412,4
3422,8
3432,6
3442,5
3452,5
3462,5
3472,4
3482,5
3492,4
3502,5
3512,5
3522,5
3532,6
3542,4
3552,4
3562,5
3572,6
3582,5
3592,5
3602,5
3612,5
3622,5
3632,6
3642,7
3652,4
3662,5
3672,5
3682,5
3692,6
3702,4
3712,5
3722,5
3732,5
3742,5
3752,6
3762,4
3772,4
3782,5
3792,6
